region,x,y
Abruzzo,46,4
Aosta Valley,-274,247
Apulia,181,-75
Basilicata,162,-112
Calabria,175,-191
Campania,99,-74
Emilia-Romagna,-82,167
Friuli-Venezia Giulia,4,282
Lazio,-9,-19
Liguria,-192,160
Lombardy,-156,239
Molise,86,-32
Piedmont,-248,194
Sardinia,-190,-138
Sicily,71,-299
The Marches,14,80
Trentino-Alto Adige,-83,304
Tuscany,-88,90
Umbria,-21,53
Veneto,-48,244
,,
